tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,"[38.98260541724366, -91.59131238045703]",24-02-2015 11:35,,Eastern Time (US & Canada)
5.70E+17,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,"[35.042165998025844, -67.63639364073109]",24-02-2015 11:15,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,"[37.17593544328012, -78.58821872065879]",24-02-2015 11:15,Lets Play,Central Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse","[37.55706670834137, -117.60422610556148]",24-02-2015 11:15,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,"[37.72256944386007, -114.34534287479889]",24-02-2015 11:14,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA","[35.13550734698984, -89.00076537993121]",24-02-2015 11:14,,Pacific Time (US & Canada)
5.70E+17,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","[26.396099461242965, -118.94881816531701]",24-02-2015 11:13,San Francisco CA,Pacific Time (US & Canada)
5.70E+17,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP","[43.46743645464845, -99.46860194708896]",24-02-2015 11:12,Los Angeles,Pacific Time (US & Canada)
5.70E+17,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D","[39.566762459175656, -85.02553935547188]",24-02-2015 11:11,San Diego,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","[38.21478967046878, -82.13220995775617]",24-02-2015 10:53,Los Angeles,Eastern Time (US & Canada)
5.70E+17,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,"[40.533541636463546, -107.567482862178]",24-02-2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,"[29.890859201376756, -90.62350802235413]",24-02-2015 10:30,NYC,America/New_York
5.70E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,"[25.30452188239908, -87.93357927042493]",24-02-2015 10:30,NYC,America/New_York
5.70E+17,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,"[32.78360292555616, -78.37940580083009]",24-02-2015 10:21,,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,"[41.66090524062832, -94.07586335178868]",24-02-2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
